"Neuron Type",E/I,rank,"Population Size","Izh C","Izh k","Izh Vr","Izh Vt","Izh a","Izh b","Izh Vpeak","Izh Vmin","Izh d","Refractory Period",CARLsim_default
"CA3c Pyramidal",e,2,44123,244.0,3.0059792094808624,-62.29424942371125,-45.27252160958905,0.0018916502293736305,19.362762181909922,17.43118361878753,-47.37323032514949,104.0,1,N
"DG Mossy",e,2,25573,258.0,1.49950884990439,-63.6729549510998,-37.1129841355212,0.00375903046296513,-20.8444164211052,28.2913663209474,-47.9809096414196,117.0,1,N
