"Source Subregion","Presynaptic Neuron Type","Target Subregion","Postsynaptic Neuron Type",g,tau_d,tau_r,tau_f,u,"Connection Probability","Synaptic Delay",CARLsim_default
CA3,"CA3 Basket",CA3,"CA3 Basket",3.0346137156862745,3.8263822686274516,621.5074556862743,12.078655940196079,0.2338328018627451,0.0044047045817104,1,Y
CA3,"CA3 Basket",CA3,"CA3 Basket CCK+",1.7864028735294115,4.741937622549018,623.7190157843139,16.086702696078437,0.23085571656862755,0.0044047045817104,1,Y
CA3,"CA3 Basket",CA3,"CA3 Pyramidal",1.46224545627451,7.792679311764701,416.2817166666665,20.62965420098039,0.20285029617647055,0.0064326945260721,1,Y
CA3,"CA3 Basket CCK+",CA3,"CA3 Basket",1.6828708651960778,5.455384839215688,542.038347745098,14.61380977843137,0.19645832847058822,0.0044047045817104,1,Y
CA3,"CA3 Basket CCK+",CA3,"CA3 Basket CCK+",1.118239590490196,4.926899388235294,425.21724490196095,19.054596431372545,0.1502526783921568,0.0044047045817104,1,Y
CA3,"CA3 Basket CCK+",CA3,"CA3 Pyramidal",1.2418753776470586,8.653427988235293,486.8334149019608,14.22931029313726,0.1603804606862745,0.0064326945260721,1,Y
CA3,"CA3 Pyramidal",CA3,"CA3 Basket",1.2473595595098035,4.5253321117647065,525.604510980392,23.321036357843138,0.18897550562745102,0.008742146711967047,1,N
CA3,"CA3 Pyramidal",CA3,"CA3 Basket CCK+",1.0575632770588235,4.326690337254902,438.2824899999997,21.669270553921578,0.2059723774509804,0.006646113963569733,1,N
CA3,"CA3 Pyramidal",CA3,"CA3 Pyramidal",0.6030019307843139,9.515857529411766,278.2582848039217,27.51301394117648,0.17242307448039212,0.010336059810539422,1,N
DG,"DG Basket",DG,"DG Granule",2.450937388235295,6.543457785294116,433.8757912745099,6.34742811862745,0.33197135647058823,0.0064326945260721,1,Y
DG,"DG Basket",DG,"DG HIPP",1.4077755219607846,6.544162634313724,534.1822171568629,8.38481192843137,0.2404785720588236,0.0044047045817104,1,Y
DG,"DG Basket",DG,"DG Basket",1.9814099656862745,4.648072616666666,195.536072009804,7.440507790196075,0.30953931803921564,0.0044047045817104,1,Y
DG,"DG Basket",DG,"DG Basket CCK+",1.5503680098039219,6.463885991176469,514.9536093137255,8.531364444117651,0.26526648803921565,0.0044047045817104,1,Y
DG,"DG Basket CCK+",DG,"DG Granule",1.3250927354901965,9.162057500980387,720.4611399019608,7.799352564705881,0.2903052244117648,0.0064326945260721,1,Y
DG,"DG Basket CCK+",DG,"DG HIPP",1.120406524607843,7.938408517647063,781.7977608823526,14.255479905882357,0.18869968803921566,0.0044047045817104,1,Y
DG,"DG Basket CCK+",DG,"DG Basket",1.5707877784313724,6.292733699019609,488.77890450980385,11.452646214705885,0.24505156196078437,0.0044047045817104,1,Y
DG,"DG Basket CCK+",DG,"DG Basket CCK+",1.141093939803922,7.579118516666668,680.14242,14.247487681372549,0.1973084993627451,0.0044047045817104,1,Y
DG,"DG Granule",DG,"DG Mossy",1.7130231039215686,5.346932748039217,428.5825544117644,73.47908526470589,0.1512684136862745,0.0077707090109251364,1,N
DG,"DG Granule",CA3,"CA3 Basket",1.6245185578431374,3.9146608882352942,518.9344310784317,43.27421385294118,0.1755721022647058,0.0006545491404588155,1,N
DG,"DG Granule",DG,"DG Mossy MOLDEN",1.6240771750000005,5.447050158823525,417.714749019608,79.48053458823529,0.14732188193137258,0.00793100444231909,1,N
DG,"DG Granule",CA3,"CA3 Basket CCK+",1.5484677843137258,3.3329163068627454,512.1467675490195,28.485211049019615,0.23029341549019602,0.00021399538807498342,1,N
DG,"DG Granule",DG,"DG HIPP",1.3047289830392161,5.1814401774509795,462.8138102941177,48.98626599019609,0.1503183379411764,0.005945746761414794,1,N
DG,"DG Granule",DG,"DG Basket",1.4574951808823529,3.5661535774509816,151.26525778431372,62.278053745098035,0.19686698696078428,0.0034599556816742316,1,N
DG,"DG Granule",DG,"DG Basket CCK+",1.5961713043137251,4.0992853156862745,500.53783843137273,45.85426412745098,0.1958453793137255,0.00522463949439167,1,N
DG,"DG Granule",CA3,"CA3 Pyramidal",1.3842366272549016,6.657226901960787,278.2857572549021,78.5837341764706,0.1552840079607843,0.00011068051783069688,1,N
DG,"DG HIPP",DG,"DG Granule",2.002001301960783,8.934875973529408,559.1427568627453,8.39594222254902,0.2781370428431373,0.005951544410392362,1,N
DG,"DG HIPP",DG,"DG Mossy MOLDEN",1.5784446467647057,6.893224064705881,591.4930421568628,27.740092205882355,0.2146011361764705,0.003991989919697181,1,N
DG,"DG HIPP",DG,"DG Basket",1.7091733313725486,5.981558444117647,367.1975535294117,15.29200362745098,0.22093152313725492,0.006092619629438634,1,N
DG,"DG HIPP",DG,"DG Basket CCK+",1.2610756022549015,7.45674644117647,616.757510490196,24.40553705392158,0.1809210200980393,0.0061325561992845445,1,N
DG,"DG Mossy",DG,"DG Granule",2.3942733882352942,5.357017162745096,166.162493245098,20.224144985294124,0.30452071892156873,0.002373904540032723,1,N
DG,"DG Mossy",DG,"DG Mossy",2.067500893137255,4.257146465686274,249.32941535294117,71.64176434313725,0.24460314980392134,0.012170243807268055,1,N
DG,"DG Mossy",DG,"DG Mossy MOLDEN",1.9321862676470596,4.4051639950980395,236.66662382352936,78.6176958627451,0.2387562465686274,0.017439006430163828,1,N
DG,"DG Mossy",DG,"DG HIPP",1.3761969022549017,4.8235038970588215,358.4310379411763,54.8716203137255,0.18065347323529413,0.00992770003223753,1,N
